YEAR,state abb,RATE,DEATHS,state lowercase,STATE,
2005,CO,12.7,608,colorado,Colorado,
2005,CT,8.5,295,conneticuit,Conneticuit,
2005,DE,7.5,62,delaware,Delaware,
2005,FL,13.5,"2,371",flordia,Flordia,
2005,GA,8.2,738,georgia,Georgia,
2005,HI,9.4,126,hawaii,Hawaii,
2005,ID,8.1,109,idaho,Idaho,
2005,IL,8.4,"1,067",illinois,Illinois,
2005,IN,9.8,610,indiana,Indiana,
2005,IA,4.8,141,iowa,Iowa,
2005,KS,9.1,241,kansas,Kansas,
2005,KY,15.3,638,kentucky,Kentucky,
2005,LA,14.7,661,louisiana,Louisiana,
2005,ME,12.4,163,maine,Maine,
2005,MD,11.4,656,maryland,Maryland,
2005,MA,12,780,massachusetts,Massachusetts,
2005,MI,9.8,985,michigan,Michigan,
2005,MN,5.4,282,minnesota,Minnesota,
2005,MS,8.8,248,mississippi,Mississippi,
2005,MO,10.7,608,missouri,Missouri,
2005,MT,10.1,96,montana,Montana,
2005,NE,5,86,nebraska,Nebraska,
2005,NV,18.7,457,nevada,Nevada,
2005,NH,10.7,142,new hampshire,New Hampshire,
2005,NJ,9.4,823,new jersey,New Jersey,
2005,NM,20.1,373,new mexico,New Mexico,
2005,NY,4.8,944,new york,New York,
2005,NC,11.4,"1,000",north carolina,North Carolina,
2005,ND,0,12,north dakota,North Dakota,
2005,OH,10.9,"1,243",ohio,Ohio,
2005,OK,13.8,478,oklahoma,Oklahoma,
2005,OR,10.4,386,oregon,Oregon,
2005,PA,13.2,"1,613",pennsylvania,Pennsylvania,
2005,RI,14.3,156,rhode island,Rhode Island,
2005,SC,9.9,427,south carolina,South Carolina,
2005,SD,5.5,40,south dakota,South Dakota,
2005,TN,14.5,872,tennessee,Tennessee,
2005,TX,8.5,"1,910",texas,Texas,
2005,UT,19.3,438,utah,Utah,
2005,VT,8.5,53,vermont,Vermont,
2005,VA,7.5,581,virginia,Virginia,
2005,WA,13,850,washington,Washington,
2005,WV,10.5,184,west virginia,West Virginia,
2005,WI,9.3,518,wisconsin,Wisconsin,
2005,WY,4.9,26,wyoming,Wyoming,
1999,AL,3.9,169,alabama,Alabama,
1999,AK,7.5,46,alaska,Alaska,
1999,AZ,10.6,511,arizona,Arizona,
1999,AR,4.4,113,arizona,Arizona,
1999,CA,8.1,"2,662",california,California,
1999,CO,8,349,colorado,Colorado,
1999,CT,9,310,conneticuit,Conneticuit,
1999,DE,6.4,50,delaware,Delaware,
1999,FL,6.4,997,flordia,Flordia,
